title,company_profile,description,requirements,benefits,fraudulent
Marketing Manager,A startup working on AI solutions,Develop and maintain software applications.,Proficiency in Java and Python.,Competitive salary and bonuses.,0
Data Scientist,A company specializing in HR solutions,Plan and execute marketing campaigns.,"No specific requirements, just pay upfront.",Work-life balance and perks.,0
Software Engineer,Scam company with no real operations,Develop and maintain software applications.,Strong background in statistics and ML.,Stock options and flexible hours.,0
Software Engineer,A leading tech company,Manage HR tasks and recruit talent.,Strong background in statistics and ML.,No benefits provided.,0
Marketing Manager,Scam company with no real operations,Plan and execute marketing campaigns.,"No specific requirements, just pay upfront.",No benefits provided.,1
HR Specialist,A startup working on AI solutions,Plan and execute marketing campaigns.,Experience in HR operations.,Work-life balance and perks.,0
Software Engineer,A reputed marketing agency,Analyze data and build machine learning models.,Strong background in statistics and ML.,Competitive salary and bonuses.,0
Marketing Manager,A reputed marketing agency,Send money for training kits.,Strong background in statistics and ML.,Work-life balance and perks.,0
HR Specialist,Scam company with no real operations,Manage HR tasks and recruit talent.,Proficiency in Java and Python.,Stock options and flexible hours.,0
Fake Job Title,A company specializing in HR solutions,Plan and execute marketing campaigns.,Strong background in statistics and ML.,No benefits provided.,1
Fake Job Title,A reputed marketing agency,Plan and execute marketing campaigns.,Experience in digital marketing.,Health insurance and remote work options.,0
Fake Job Title,A company specializing in HR solutions,Develop and maintain software applications.,Experience in HR operations.,Work-life balance and perks.,0
Fake Job Title,Scam company with no real operations,Manage HR tasks and recruit talent.,Experience in digital marketing.,Health insurance and remote work options.,0
HR Specialist,A reputed marketing agency,Send money for training kits.,Experience in HR operations.,No benefits provided.,0
Software Engineer,A startup working on AI solutions,Develop and maintain software applications.,"No specific requirements, just pay upfront.",Stock options and flexible hours.,0
HR Specialist,A reputed marketing agency,Send money for training kits.,"No specific requirements, just pay upfront.",No benefits provided.,0
Data Scientist,A leading tech company,Analyze data and build machine learning models.,"No specific requirements, just pay upfront.",Health insurance and remote work options.,0
HR Specialist,A reputed marketing agency,Develop and maintain software applications.,Proficiency in Java and Python.,Health insurance and remote work options.,0
Data Scientist,A reputed marketing agency,Send money for training kits.,Experience in HR operations.,No benefits provided.,0
HR Specialist,Scam company with no real operations,Analyze data and build machine learning models.,Experience in HR operations.,No benefits provided.,0
HR Specialist,A reputed marketing agency,Plan and execute marketing campaigns.,Experience in digital marketing.,No benefits provided.,0
Data Scientist,A company specializing in HR solutions,Develop and maintain software applications.,Strong background in statistics and ML.,Stock options and flexible hours.,0
Data Scientist,Scam company with no real operations,Plan and execute marketing campaigns.,Proficiency in Java and Python.,Stock options and flexible hours.,1
Data Scientist,Scam company with no real operations,Send money for training kits.,Proficiency in Java and Python.,Stock options and flexible hours.,0
HR Specialist,A startup working on AI solutions,Send money for training kits.,Proficiency in Java and Python.,Competitive salary and bonuses.,0
HR Specialist,Scam company with no real operations,Send money for training kits.,Experience in digital marketing.,No benefits provided.,0
Software Engineer,A startup working on AI solutions,Analyze data and build machine learning models.,Strong background in statistics and ML.,Health insurance and remote work options.,1
Fake Job Title,Scam company with no real operations,Send money for training kits.,"No specific requirements, just pay upfront.",Stock options and flexible hours.,0
Fake Job Title,A startup working on AI solutions,Analyze data and build machine learning models.,Experience in digital marketing.,Competitive salary and bonuses.,0
Data Scientist,A leading tech company,Manage HR tasks and recruit talent.,Proficiency in Java and Python.,Competitive salary and bonuses.,1
HR Specialist,A company specializing in HR solutions,Develop and maintain software applications.,Experience in HR operations.,Competitive salary and bonuses.,1
Software Engineer,A reputed marketing agency,Plan and execute marketing campaigns.,Experience in digital marketing.,Work-life balance and perks.,0
Marketing Manager,A company specializing in HR solutions,Develop and maintain software applications.,Experience in digital marketing.,Health insurance and remote work options.,1
HR Specialist,A company specializing in HR solutions,Analyze data and build machine learning models.,Experience in HR operations.,Work-life balance and perks.,0
HR Specialist,A company specializing in HR solutions,Develop and maintain software applications.,Strong background in statistics and ML.,Competitive salary and bonuses.,1
Software Engineer,A startup working on AI solutions,Develop and maintain software applications.,Strong background in statistics and ML.,No benefits provided.,0
Data Scientist,A leading tech company,Analyze data and build machine learning models.,Experience in HR operations.,Work-life balance and perks.,0
HR Specialist,A startup working on AI solutions,Analyze data and build machine learning models.,Experience in digital marketing.,Stock options and flexible hours.,1
